N;K;Eta;Tau
5;"3";0.0757625501968;2.5749774435
5;"5";0.15648899872;2.28884367645
5;"10";0.305705373365;2.00506936006
5;"13";0.270718489396;2.07960220017
5;"15";0.288388317926;1.91442112599
5;"18";0.421207061515;1.26765578263
5;"20";0.260306585709;1.46683413208
5;"22";0.20577924643;1.39623435687
5;"24";0.203511518837;0.941962584848
10;"2";0.00279128556618;4.52589082704
10;"4";0.0102975327542;4.35326939497
10;"7";0.0255354902953;4.03417128933
10;"12";0.0545117242939;3.79388124274
10;"25";0.13619349457;3.27573968252
10;"40";0.206568576891;2.67948939526
10;"53";0.305548680746;2.18461541843
10;"67";0.355124595187;1.61403620105
10;"80";0.279916779429;1.08942264437
10;"90";0.680217360217;0.578051851189
10;"99";0.0133082320615;2.62190240746
15;"3";0.00251515440494;4.65192512799
15;"5";0.00904264703559;3.95816723815
15;"10";0.0111266706885;4.71926698022
15;"15";0.0155162111836;4.7918966961
15;"30";0.0434047849752;4.38570626164
15;"60";0.0957529040789;3.90926913682
15;"90";0.161655150877;3.26209868623
15;"120";0.292518609093;2.37510222237
15;"150";0.49845270916;1.19965953378
15;"180";0.484304930796;0.624638117997
15;"200";30051.25832;0.151257358907
15;"220";0.323857027438;0.402785005902
20;"4";0.00125165911624;5.49433577924
20;"9";0.00424023704294;5.32093555873
20;"18";0.00619190245408;5.81207931099
20;"26";0.0115662012531;5.48187972976
20;"50";0.0207472908105;5.53229933334
20;"110";0.0784812400398;4.41232623466
20;"160";0.18136126796;3.19660192706
20;"213";0.317511230083;2.08965329492
20;"267";0.520998964657;1.09873766998
20;"320";40787.9859919;0.176066304488
20;"360";20088.6135596;0.125942746939
20;"396";0.0811050154774;1.46700262874
25;"6";0.00179062285615;5.30404767623
25;"14";0.00398347582985;5.60747395062
25;"27";0.00253066918378;7.10602607955
25;"43";0.00446216461259;7.02115423593
25;"80";0.0152801988598;6.14005431499
25;"170";0.0890742265099;4.03124036302
25;"250";0.187885376433;2.84253646842
25;"333";0.353746328661;1.56749395482
25;"417";1.47313044973;0.470272440582
25;"500";19021.9538926;0.0945984643937
25;"563";16543.2626901;-0.0175610217089
25;"618";0.340788593049;0.391887363131
30;"9";0.0019360469368;5.42051488646
30;"20";0.00286574767317;6.02619310963
30;"40";0.0037298426534;6.57800306401
30;"60";0.00439336331786;6.94587948928
30;"120";0.0180073449754;5.86181805783
30;"240";0.0749932699607;4.28011433403
30;"360";0.177431406524;3.12354631531
30;"480";0.282131354473;2.27027859243
30;"600";0.489552539243;1.29306822345
30;"720";9.37544132332;0.329327091478
30;"810";83009.2183115;0.159114399809
30;"890";7675.25058817;0.0271399422095